,Pointing,SCA,BAND,zeropoint,RA,DEC,date,true mag,true flux,DETECTED,mag,flux,Residual Mean,Residual Mean Central,SNID
94,52675,4,F184,14.621993990809624,7.767412545335528,-44.6792637577323,62682.001,3.56041518,26584.6854,True,3.5622538859329005,26539.604439994568,1.1285055322899071,-2.2325621787376315,50022453
95,53050,14,F184,14.62199399100008,7.761632510172634,-44.63042106505874,62686.866,3.51189748,27799.6038,True,3.527640212807494,27399.32822063282,1.155426712734804,2.099020716082148,50022453
96,53055,5,F184,14.62199399092137,7.782112700861939,-44.59943339684312,62686.934,3.50908057,27871.8225,True,3.5195289872327287,27604.7872960144,1.1780286380147795,1.2194438549126123,50022453
97,53430,17,F184,14.621993990837945,7.792630695710073,-44.65874020168709,62691.799,3.36092698,31946.759,True,3.378119828147458,31444.744388709856,1.293583693360382,-4.738902778824029,50022453
98,53435,2,F184,14.62199399115388,7.848794343882816,-44.610890154485325,62691.866,3.36169817,31924.0755,True,3.3666185185630297,31779.61214704715,1.3772714620193298,-3.672631652971865,50022453
99,53815,11,F184,14.62199399099186,7.811343182968353,-44.62044604250772,62696.799,3.45261525,29359.6922,True,3.459514439623181,29173.613442610487,1.1694347966989007,4.330096755174883,50022453
100,662,16,F184,14.621993990996478,7.163463889390818,-44.368964858442936,62006.48422,,,False,,,847.6299579978722,411.2632972529731,40018655
101,7642,5,F184,14.621993990855923,7.321179896501238,-44.319013094353096,62097.1586,,,False,,,730.8429093072955,287.7965472004725,40018655
102,6488,6,F184,14.621993990792022,7.274751541743491,-44.33401792963315,62082.1699,,,False,,,691.1540761760552,-69.85633129153507,40018655
103,6104,14,F184,14.62199399085872,7.31375151802775,-44.36064132583118,62077.1811,,,False,,,781.360651079658,497.89024636588726,40018655
104,5714,2,F184,14.621993990905274,7.291614377882495,-44.34471286567087,62072.1137,,,False,,,825.4670715852608,458.4680067635397,40018655
105,8027,7,F184,14.621993990820208,7.2918007617284974,-44.356894344612186,62102.159,,,False,,,739.0841999497279,460.6776140772398,40018655
106,2594,10,F184,14.621993990966011,7.2225884516441266,-44.38753498162629,62031.5741,,,False,,,722.9263637648346,524.5473771326003,40018655
107,2204,2,F184,14.62199399096004,7.207050925033169,-44.31113755580704,62026.5067,,,False,,,708.0300231468491,701.3610292130124,40018655
108,1818,17,F184,14.621993990990552,7.179692351685009,-44.30616452437326,62021.4955,,,False,,,826.6112491400163,554.7716493417779,40018655
